Gene symbol	Gene Name	Ensembl Gene ID	Entrez Gene ID	Protein symbol	Historical class	Protein UniProtKB/Swiss-Prot AC	EC Number	CATH code of phosphatase domain	Phosphatase family based on CATH code of phosphatase domain	Subcellular localizations (curated from UniProt and LocDB)	References of subcellular localizations (PubMed IDs)	Tissue specificity (curated from UniProt)	References of tissue specificity (PubMed IDs)
PTPRM	"protein tyrosine phosphatase, receptor type, M"	ENSG00000173482	5797	RPTPmu	Receptor protein tyrosine phosphatases (RPTPs)	P28827	3.1.3.48	3.90.190.10	Family 1	extracellular region; plasma membrane	"11136977, 14718574, 11278757, 3119665, 7961788"	N/A	N/A
PTPRN2	"protein tyrosine phosphatase, receptor type, N polypeptide 2"	ENSG00000155093	5799	IA-2beta	Receptor protein tyrosine phosphatases (RPTPs)	Q92932	3.1.3.48	3.90.190.10	Family 1	plasma membrane	8798755	"Highest levels in brain and pancreas. Lower levels in trachea, prostate, stomach and spinal chord."	"8878534, 8954911, 8798755"
PTPRO	"protein tyrosine phosphatase, receptor type, O"	ENSG00000151490	5800	GLEPP1	Receptor protein tyrosine phosphatases (RPTPs)	Q16827	3.1.3.48	3.90.190.10	Family 1	plasma membrane	"15356345, 7665166"	"Glomerulus of kidney. Also detected in brain, lung and placenta."	"7753550, 7665166"
PTPRQ	"protein tyrosine phosphatase, receptor type, Q"	ENSG00000139304	374462	PTPS31	Receptor protein tyrosine phosphatases (RPTPs)	Q9UMZ3	"3.1.3.-, 3.1.3.48"	3.90.190.10	Family 1	cytoplasm; plasma membrane	12837292	"In developing kidney, it localizes to the basal membrane of podocytes, beginning when podocyte progenitors can first be identified in the embryonic kidney (at protein level). Expressed in lung and kidney."	"12837292, 20346435"
PTPRR	"protein tyrosine phosphatase, receptor type, R"	ENSG00000153233	5801	PTP-SL	Receptor protein tyrosine phosphatases (RPTPs)	Q15256	3.1.3.48	3.90.190.10	Family 1	plasma membrane	12548400	"Expressed in brain, placenta, small intestine, stomach, uterus and weakly in the prostate. Isoform alpha has been observed only in the brain. Isoform gamma is expressed in brain, placenta and uterus. Isoform delta is expressed in brain, kidney, placenta, prostate, small intestine and uterus."	10705342
PTPRS	"protein tyrosine phosphatase, receptor type, S"	ENSG00000105426	5802	RPTPsigma	Receptor protein tyrosine phosphatases (RPTPs)	Q13332	3.1.3.48	3.90.190.10	Family 1	plasma membrane 	"8524829, 9245795"	Detected in all tissues tested except for placenta and liver.	"8524829, 8992885"
PTPRT	"protein tyrosine phosphatase, receptor type, T"	ENSG00000196090	11122	RPTPrho	Receptor protein tyrosine phosphatases (RPTPs)	O14522	3.1.3.48	3.90.190.10	Family 1	plasma membrane	9602027	"Expressed in colon, lung, heart and testis, as well as in fetal and adult brain. Not detected in muscle and peripheral blood leukocytes."	15155950
PTPRU	"protein tyrosine phosphatase, receptor type, U"	ENSG00000060656	10076	PTP-J	Receptor protein tyrosine phosphatases (RPTPs)	Q92729	3.1.3.48	3.90.190.10	Family 1	cell junction; extracellular region; plasma membrane	8700514	"High levels in brain, pancreas, and skeletal muscle; less in colon, kidney, liver, stomach, and uterus; not expressed in placenta and spleen. Also detected in heart, prostate, lung, thymus, testis and ovary. Ubiquitously expressed in brain. Expressed by hematopoietic stem cells."	"8870675, 8700514, 9070223, 9434160"
PTPRZ1	"protein tyrosine phosphatase, receptor-type, Z polypeptide 1"	ENSG00000106278	5803	RPTPzeta	Receptor protein tyrosine phosphatases (RPTPs)	P23471	3.1.3.48	3.90.190.10	Family 1	plasma membrane	8387522	"Specifically expressed in the central nervous system, where it is localized in the Purkinje cell layer of the cerebellum, the dentate gyrus, and the subependymal layer of the anterior horn of the lateral ventricle. Developmentally regulated in the brain."	9653645
PTPN1	"protein tyrosine phosphatase, non-receptor type 1"	ENSG00000196396	5770	PTP1B	Nonreceptor-type protein tyrosine phosphatases (NRPTPs)	P18031	3.1.3.48	3.90.190.10	Family 1	cytoplasm; endoplasmic reticulum	"2546149, 1739967, 7935344"	N/A	N/A
PTPN2	"protein tyrosine phosphatase, non-receptor type 2"	ENSG00000175354	5771	TCPTP	Nonreceptor-type protein tyrosine phosphatases (NRPTPs)	P17706	3.1.3.48	3.90.190.10	Family 1	cytoplasm; endoplasmic reticulum; nucleus	"7593185, 9261175"	Isoform PTPA is probably the major isoform. Isoform PTPB is expressed in T-cells and in placenta.	"2546150, 1731319"
PTPN3	"protein tyrosine phosphatase, non-receptor type 3"	ENSG00000070159	5774	PTPH1	Nonreceptor-type protein tyrosine phosphatases (NRPTPs)	P26045	3.1.3.48	3.90.190.10	Family 1	cytoplasm; plasma membrane	"10940933, 12871939"	N/A	N/A
PTPN4	"protein tyrosine phosphatase, non-receptor type 4 (megakaryocyte)"	ENSG00000088179	5775	PTP-MEG1	Nonreceptor-type protein tyrosine phosphatases (NRPTPs)	P29074	3.1.3.48	3.90.190.10	Family 1	cytoplasm; plasma membrane	"8910369, 8917530"	N/A	N/A
PTPN5	"protein tyrosine phosphatase, non-receptor type 5 (striatum-enriched)"	ENSG00000110786	84867	STEP	Nonreceptor-type protein tyrosine phosphatases (NRPTPs)	P54829	3.1.3.48	3.90.190.10	Family 1	cytoplasm	9272866	N/A	N/A
PTPN6	"protein tyrosine phosphatase, non-receptor type 6"	ENSG00000111679	5777	SHP1	Nonreceptor-type protein tyrosine phosphatases (NRPTPs)	P29350	3.1.3.48	3.90.190.10	Family 1	cytoplasm; cytosol	"10940933, 9774457"	Isoform 1 is expressed in hematopoietic cells. Isoform 2 is expressed in non-hematopoietic cells.	"1732748, 1652101, 1736296"
PTPN7	"protein tyrosine phosphatase, non-receptor type 7"	ENSG00000143851	5778	HePTP	Nonreceptor-type protein tyrosine phosphatases (NRPTPs)	P35236	3.1.3.48	3.90.190.10	Family 1	cytoplasm; plasma membrane	"14613483, 10940933"	Expressed exclusively in thymus and spleen.	"1510684, 1530918"
PTPN9	"protein tyrosine phosphatase, non-receptor type 9"	ENSG00000169410	5780	PTP-MEG2	Nonreceptor-type protein tyrosine phosphatases (NRPTPs)	P43378	3.1.3.48	3.90.190.10	Family 1	cytoplasm; vesicle	"1557404, 15322554"	N/A	N/A
PTPN11	"protein tyrosine phosphatase, non-receptor type 11"	ENSG00000179295	5781	SHP2	Nonreceptor-type protein tyrosine phosphatases (NRPTPs)	Q06124	3.1.3.48	3.90.190.10	Family 1	cytoplasm; cytosol; plasma membrane	"10940933, 10734310, 14560030, 14665621, 15574420, 9054388"	"Widely expressed, with highest levels in heart, brain, and skeletal muscle."	"1280823, 8216283, 7681589"
PTPN12	"protein tyrosine phosphatase, non-receptor type 12"	ENSG00000127947	5782	PTP-PEST	Nonreceptor-type protein tyrosine phosphatases (NRPTPs)	Q05209	3.1.3.48	3.90.190.10	Family 1	cytoplasm	"11337490, 8887669"	N/A	N/A
PTPN13	"protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase)"	ENSG00000163629	5783	PTP-BAS	Nonreceptor-type protein tyrosine phosphatases (NRPTPs)	Q12923	3.1.3.48	3.90.190.10	Family 1	cytoplasm; cytoskeleton; nucleus; cell projection	11356191	"Present in most tissues with the exception of the liver and skeletal muscle. Most abundant in lung, kidney and fetal brain."	"8071359, 8287977, 7929060"
PTPN14	"protein tyrosine phosphatase, non-receptor type 14"	ENSG00000152104	5784	Pez	Nonreceptor-type protein tyrosine phosphatases (NRPTPs)	Q15678	3.1.3.48	3.90.190.10	Family 1	cytoplasm; cytoskeleton; nucleus	"10934049, 10400706"	"Expressed in a variety of human tissues including kidney, skeletal muscle, lung and placenta."	7733990
PTPN18	"protein tyrosine phosphatase, non-receptor type 18 (brain-derived)"	ENSG00000072135	26469	BDP1	Nonreceptor-type protein tyrosine phosphatases (NRPTPs)	Q99952	3.1.3.48	3.90.190.10	Family 1	N/A	N/A	"Expressed in brain, colon and several tumor-derived cell lines."	8950995
PTPN20A	"protein tyrosine phosphatase, non-receptor type 20A"	ENSG00000204179	653129	PTPN20	Nonreceptor-type protein tyrosine phosphatases (NRPTPs)	Q4JDL3	3.1.3.48	3.90.190.10	Family 1	cytoplasm; cytoskeleton; nucleus	15790311	Present in many cell lines (at protein level). Widely expressed.	15790311
PTPN20B	"protein tyrosine phosphatase, non-receptor type 20B"	ENSG00000183675	26095	PTPN20	Nonreceptor-type protein tyrosine phosphatases (NRPTPs)								
PTPN21	"protein tyrosine phosphatase, non-receptor type 21"	ENSG00000070778	11099	PTPD1	Nonreceptor-type protein tyrosine phosphatases (NRPTPs)	Q16825	3.1.3.48	3.90.190.10	Family 1	cytoplasm; mitochondrion	"10585123, 15143158"	N/A	N/A
PTPN22	"protein tyrosine phosphatase, non-receptor type 22 (lymphoid)"	ENSG00000134242	26191	LYP	Nonreceptor-type protein tyrosine phosphatases (NRPTPs)	Q9Y2R2	3.1.3.48	3.90.190.10	Family 1	cytoplasm; nucleus; plasma membrane	"10940933, 10068674"	Predominantly expressed in lymphoid tissues and cells. Isoform 1 is expressed in thymocytes and both mature B and T-cells.	10068674
PTPN23	"protein tyrosine phosphatase, non-receptor type 23"	ENSG00000076201	25930	HD-PTP	Nonreceptor-type protein tyrosine phosphatases (NRPTPs)	Q9H3S7	3.1.3.48	3.90.190.10	Family 1	cytoplasm; cytoskeleton; vesicle	11095967	N/A	N/A
DUSP1	dual specificity phosphatase 1	ENSG00000120129	1843	MKP-1	MAPK phosphatases (MKPs)	P28562	"3.1.3.16, 3.1.3.48"	3.90.190.10	Family 1	nucleus	11062068	"Expressed at high levels in the lung, liver placenta and pancreas. Moderate levels seen in the heart and skeletal muscle. Lower levels found in the brain and kidney."	8106404
DUSP2	dual specificity phosphatase 2	ENSG00000158050	1844	PAC-1	MAPK phosphatases (MKPs)	Q05923	"3.1.3.16, 3.1.3.48"	3.90.190.10	Family 1	nucleus	7681221	Expressed in hematopoietic tissues.	7681221
DUSP4	dual specificity phosphatase 4	ENSG00000120875	1846	MKP-2	MAPK phosphatases (MKPs)	Q13115	"3.1.3.16, 3.1.3.48"	3.90.190.10	Family 1	nucleus	"7535768, 17322878"	N/A	N/A
DUSP5	dual specificity phosphatase 5	ENSG00000138166	1847	hVH3	MAPK phosphatases (MKPs)	Q16690	"3.1.3.16, 3.1.3.48"	3.90.190.10	Family 1	nucleus	7836374	N/A	N/A
DUSP6	dual specificity phosphatase 6	ENSG00000139318	1848	MKP-3	MAPK phosphatases (MKPs)	Q16828	"3.1.3.16, 3.1.3.48"	3.90.190.10	Family 1	cytoplasm; nucleus	"15269220, 17322878, 8670865"	N/A	N/A
DUSP7	dual specificity phosphatase 7	ENSG00000164086	1849	MKP-X	MAPK phosphatases (MKPs)	Q16829	"3.1.3.16, 3.1.3.48"	3.90.190.10	Family 1	cytoplasm; nucleus	"17322878, 9788880"	Expressed at significantly higher levels in malignant hematopoietic cells than in corresponding non-malignant cells.	14576828
DUSP8	dual specificity phosphatase 8	ENSG00000184545	1850	hVH5	MAPK phosphatases (MKPs)	Q13202	"3.1.3.16, 3.1.3.48"	3.90.190.10	Family 1	N/A	N/A	"Abundant in brain, heart and skeletal muscle."	7561881
DUSP9	dual specificity phosphatase 9	ENSG00000130829	1852	MKP-4	MAPK phosphatases (MKPs)	Q99956	"3.1.3.16, 3.1.3.48"	3.90.190.10	Family 1	cytoplasm; nucleus	9030581	N/A	N/A
DUSP10	dual specificity phosphatase 10	ENSG00000143507	11221	MKP-5	MAPK phosphatases (MKPs)	Q9Y6W6	"3.1.3.16, 3.1.3.48"	3.90.190.10	Family 1	cytoplasm; nucleus	"10391943, 10597297"	N/A	N/A
DUSP16	dual specificity phosphatase 16	ENSG00000111266	80824	MKP-7	MAPK phosphatases (MKPs)	Q9BY84	"3.1.3.16, 3.1.3.48"	3.90.190.10	Family 1	cytoplasm; nucleus; vesicle	"11489891, 11359773, 15888437"	N/A	N/A
DUPD1	dual specificity phosphatase and pro isomerase domain containing 1	ENSG00000188716	338599	DUPD1	Atypical DSPs	Q68J44	"3.1.3.16, 3.1.3.48"	3.90.190.10	Family 1	cytoplasm	17498703	"Skeletal muscle, liver and adipose tissue."	17498703
DUSP3	dual specificity phosphatase 3	ENSG00000108861	1845	VHR	Atypical DSPs	P51452	"3.1.3.16, 3.1.3.48"	3.90.190.10	Family 1	cytoplasm; nucleus	"10224087, 17322878"	N/A	N/A
DUSP11	dual specificity phosphatase 11 (RNA/RNP complex 1-interacting)	ENSG00000144048	8446	PIR1	Atypical DSPs	O75319	3.1.3.-	3.90.190.10	Family 1	cytoskeleton; nucleus	"16381850, 9685386, 15635413, 16381990"	N/A	N/A
DUSP12	dual specificity phosphatase 12	ENSG00000081721	11266	YVH1	Atypical DSPs	Q9UNI6	"3.1.3.16, 3.1.3.48"	3.90.190.10	Family 1	cytoplasm; nucleus	10446167	"Ubiquitous, highest expression in spleen, testis, ovary, and peripheral blood leukocytes and lower expression in liver and lung."	10446167
DUSP13	dual specificity phosphatase 13	ENSG00000079393	51207	TMDP	Atypical DSPs	Q9UII6	"3.1.3.16, 3.1.3.48"	3.90.190.10	Family 1	N/A	N/A	Most abundantly expressed in the testis. Also found in the skeletal muscle. Testis-specific (at protein level).	15252030
			51207	MDSP		Q6B8I1	"3.1.3.16, 3.1.3.48"	3.90.190.10	Family 1	cytoplasm	15252030	Skeletal muscle-specific.	15252030
DUSP14	dual specificity phosphatase 14	ENSG00000161326	11072	MKP-6	Atypical DSPs	O95147	"3.1.3.16, 3.1.3.48"	3.90.190.10	Family 1	cytoplasm; nucleus	11123293	N/A	N/A
DUSP15	dual specificity phosphatase 15	ENSG00000149599	128853	VHY	Atypical DSPs	Q9H1R2	"3.1.3.16, 3.1.3.48"	3.90.190.10	Family 1	cytoplasm; plasma membrane	15138252	Highly expressed in testis.	15138252
DUSP18	dual specificity phosphatase 18	ENSG00000167065	150290	LMW-DSP20	Atypical DSPs	Q8NEJ0	"3.1.3.16, 3.1.3.48"	3.90.190.10	Family 1	cytoplasm; nucleus	12408986	"Widely expressed with highest levels in liver, brain, ovary and testis."	"12408986, 12591617"
DUSP19	dual specificity phosphatase 19	ENSG00000162999	142679	SKRP1	Atypical DSPs	Q8WTR2	"3.1.3.16, 3.1.3.48"	3.90.190.10	Family 1	cytoplasm	11959861	"Expressed in the heart, lung, liver, and pancreas. The expression level in the pancreas is the highest."	12479873
DUSP21	dual specificity phosphatase 21	ENSG00000189037	63904	LMW-DSP21	Atypical DSPs	Q9H596	"3.1.3.16, 3.1.3.48"	3.90.190.10	Family 1	cytoplasm; nucleus	12408986	Expressed in testis.	12408986
DUSP22	dual specificity phosphatase 22	ENSG00000112679	56940	JSP-1	Atypical DSPs	Q9NRW4	"3.1.3.16, 3.1.3.48"	3.90.190.10	Family 1	cytoplasm; nucleus	"11346645, 11733513"	"Ubiquitous. Highest expression seen in heart, placenta, lung, liver, kidney and pancreas."	11717427
DUSP23	dual specificity phosphatase 23	ENSG00000158716	54935	VHZ	Atypical DSPs	Q9BVJ7	"3.1.3.16, 3.1.3.48"	3.90.190.10	Family 1	cytoplasm; cytosol; nucleus	"15281913, 15201283, 15147733"	"Widely expressed. Highly expressed in spleen, prostate, colon, adrenal gland, mammary gland, thyroid and trachea. Expressed at lower level in uterus, small intestine, bladder, bone marrow, brain, spinal cord and stomach."	"15201283, 15147733"
DUSP26	dual specificity phosphatase 26 (putative)	ENSG00000133878	78986	MKP-8	Atypical DSPs	Q9BV47	"3.1.3.16, 3.1.3.48"	3.90.190.10	Family 1	cytoplasm; golgi apparatus; nucleus	"15796912, 17001450"	"Brain. In the brain it is expressed ubiquitously except in the hippocampus. Expressed in embryonal cancers (retinoblastoma, neuroepithilioma and neuroblastoma) and in anaplatic thyroid cancer."	"15796912, 16924234, 17001450, 16581800"
DUSP28	dual specificity phosphatase 28	ENSG00000188542	285193	DUSP28	Atypical DSPs	Q4G0W2	"3.1.3.16, 3.1.3.48"	3.90.190.10	Family 1	N/A	N/A	N/A	N/A
EPM2A	"epilepsy, progressive myoclonus type 2A, Lafora disease (laforin)"	ENSG00000112425	7957	Laforin	Atypical DSPs	O95278	"3.1.3.16, 3.1.3.48"	3.90.190.10	Family 1	cytoplasm; endoplasmic reticulum; nucleus; plasma membrane	"11001928, 11220751, 11883934, 11739371, 17908927, 10521265, 2675384"	"Expressed in heart, skeletal muscle, kidney, pancreas and brain."	9771710
PTPMT1	"protein tyrosine phosphatase, mitochondrial 1"	ENSG00000110536	114971	PTPMT1	Atypical DSPs	Q8WUK0	"3.1.3.16, 3.1.3.48"	3.90.190.10	Family 1	mitochondrion	21641550	N/A	N/A
RNGTT	RNA guanylyltransferase and 5'-phosphatase	ENSG00000111880	8732	HCE	Atypical DSPs	O60942	"3.1.3.33, 2.7.7.50"	3.90.190.10	Family 1	nucleus	"9512541, 9790902"	"Isoform 1 and isoform 4 (at a lesser extent) are expressed in cerebrum, cerebellum, thyroid, lung, heart, liver, kidney, spleen, large intestine, testis, skin and muscle."	"9512541, 9473487"
SSH1	slingshot homolog 1 (Drosophila)	ENSG00000084112	54434	slingshot-1	Slingshots	Q8WYL5	"3.1.3.16, 3.1.3.48"	3.90.190.10	Family 1	cell projection; cleavage furrow; cytoplasm; cytoskeleton; midbody	"14531860, 12807904, 15056216, 14645219, 15159416, 16230460"	N/A	N/A
SSH2	slingshot homolog 2 (Drosophila)	ENSG00000141298	85464	slingshot-2	Slingshots	Q76I76	"3.1.3.16, 3.1.3.48"	3.90.190.10	Family 1	cytoplasm	"11080189, 11535587, 14531860"	N/A	N/A
SSH3	slingshot homolog 3 (Drosophila)	ENSG00000172830	54961	slingshot-3	Slingshots	Q8TE77	"3.1.3.16, 3.1.3.48"	3.90.190.10	Family 1	cytoplasm; nucleus	14531860	N/A	N/A
PTP4A1	"protein tyrosine phosphatase type IVA, member 1"	ENSG00000112245	7803	PRL-1	Phosphatase of regenerating liver (PRLs)	Q93096	3.1.3.48	3.90.190.10	Family 1	cytoplasm; cytoskeleton; endoplasmic reticulum; endosome; nucleus; plasma membrane	"10747914, 12235145, 10940933, 15571731"	"Expressed in bone marrow, lymph nodes, T lymphocytes, spleen, thymus and tonsil. Overexpressed in tumor cell lines."	"10940933, 12235145"
PTP4A2	"protein tyrosine phosphatase type IVA, member 2"	ENSG00000184007	8073	PRL-2	Phosphatase of regenerating liver (PRLs)	Q12974	3.1.3.48	3.90.190.10	Family 1	cytoplasm; endosome; nucleus; plasma membrane	"12044882, 12032140, 12736250, 10993067, 10940933, 11447212, 12235145"	"Ubiquitously expressed, with highest levels in skeletal muscle, heart and thymus. Overexpressed in prostate tumor tissue."	"8661118, 10940933, 11734337"
PTP4A3	"protein tyrosine phosphatase type IVA, member 3"	ENSG00000184489	11156	PRL-3	Phosphatase of regenerating liver (PRLs)	O75365	3.1.3.48	3.90.190.10	Family 1	cytoplasm; endosome; nucleus; plasma membrane	"10747914, 12782572"	Mainly expressed in cardiomyocytes and skeletal muscle; also found in pancreas. Consistently overexpressed in colon cancer metastasis.	11355880
CDC14A	CDC14 cell division cycle 14 homolog A (S. cerevisiae)	ENSG00000079335	8556	CDC14A	Cell division cycle 14 homologs (S. cerevisiae) (CDC14s)	Q9UNH5	"3.1.3.16, 3.1.3.48"	3.90.190.10	Family 1	cytoplasm; cytoskeleton; nucleus	"9367992, 12134069, 11901424, 15263015, 11598127"	N/A	N/A
CDC14B	CDC14 cell division cycle 14 homolog B (S. cerevisiae)	ENSG00000081377	8555	CDC14B	Cell division cycle 14 homologs (S. cerevisiae) (CDC14s)	O60729	"3.1.3.16, 3.1.3.48"	3.90.190.10	Family 1	nucleus	"9367992, 18662541, 12134069, 11901424"	N/A	N/A
CDKN3	cyclin-dependent kinase inhibitor 3	ENSG00000100526	1033	KAP	Cell division cycle 14 homologs (S. cerevisiae) (CDC14s)	Q16667	"3.1.3.16, 3.1.3.48"	3.90.190.10	Family 1	cytoplasm	10669749	N/A	N/A
PTPDC1	protein tyrosine phosphatase domain containing 1	ENSG00000158079	138639	PTPDC1	Cell division cycle 14 homologs (S. cerevisiae) (CDC14s)	A2A3K4	3.1.3.-	3.90.190.10	Family 1	N/A	N/A	N/A	N/A
DNAJC6	"DnaJ (Hsp40) homolog, subfamily C, member 6"	ENSG00000116675	9829	auxilin	Phosphatase and tensin homologs (PTENs)	O75061	3.1.3.48	3.90.190.10	Family 1	cytoplasm; nucleus	11147971	N/A	N/A
PTEN	phosphatase and tensin homolog	ENSG00000171862	5728	PTEN	Phosphatase and tensin homologs (PTENs)	P60484	"3.1.3.16, 3.1.3.48, 3.1.3.67"	3.90.190.10	Family 1	cytoplasm; cytosol; nucleus; plasma membrane	"10213484, 12847108, 12543774, 9356475, 9593664, 10760291, 9187108, 18716620"	"Expressed at a relatively high level in all adult tissues, including heart, brain, placenta, lung, liver, muscle, kidney and pancreas."	9090379
TENC1	tensin like C1 domain containing phosphatase (tensin 2)	ENSG00000111077	23371	C1-TEN	Phosphatase and tensin homologs (PTENs)	Q63HR2	3.1.3.-	3.90.190.10	Family 1	cell junction; extracellular region; plasma membrane	11792844	"Detected in heart, kidney, brain, thymus, spleen, liver, placenta, lung, skeletal muscle and small intestine."	"12470648, 11792844"
TPTE	transmembrane phosphatase with tensin homology	ENSG00000166157	7179	TPTE	Phosphatase and tensin homologs (PTENs)	P56180	3.1.3.48	3.90.190.10	Family 1	endoplasmic reticulum; golgi apparatus; plasma membrane	"14659893, 11810268, 11279206"	Exclusively expressed in testis.	10598804
TPTE2	transmembrane phosphoinositide 3-phosphatase and tensin homolog 2	ENSG00000132958	93492	TPIP	Phosphatase and tensin homologs (PTENs)	Q6XPS3	3.1.3.67	3.90.190.10	Family 1	cytoplasm; endoplasmic reticulum; golgi apparatus	"11716755, 14659893"	"Isoform 3 is expressed in testis, brain and stomach while isoform 4 seems to be testis-specific."	11716755
MTM1	myotubularin 1	ENSG00000171100	4534	MTM1	Myotubularins	Q13496	3.1.3.64	3.90.190.10	Family 1	cytoplasm	10900271	N/A	N/A
MTMR1	myotubularin related protein 1	ENSG00000063601	8776	MTMR1	Myotubularins	Q13613	3.1.3.-	3.90.190.10	Family 1	cytoplasm; plasma membrane	"16787938, 12847286"	N/A	N/A
MTMR2	myotubularin related protein 2	ENSG00000087053	8898	MTMR2	Myotubularins	Q13614	3.1.3.-	3.90.190.10	Family 1	cytoplasm; membrane; nucleus	"12837694, 11733541, 12668758, 15998640"	N/A	N/A
MTMR3	myotubularin related protein 3	ENSG00000100330	8897	MTMR3	Myotubularins	Q13615	3.1.3.48	3.90.190.10	Family 1	cytoplasm; nucleus; plasma membrane	"11302699, 10733931, 16787938, 11846405"	N/A	N/A
MTMR4	myotubularin related protein 4	ENSG00000108389	9110	MTMR4	Myotubularins	Q9NYA4	3.1.3.48	3.90.190.10	Family 1	cytoplasm; endosome; membrane	"11302699, 16787938"	"Expressed in brain, heart, kidney, spleen, liver, colon, testis, muscle, placenta, thyroid gland, pancreas, ovary, prostate, skin, peripheral blood, and bone marrow."	11302699
MTMR6	myotubularin related protein 6	ENSG00000139505	9107	MTMR6	Myotubularins	Q9Y217	3.1.3.-	3.90.190.10	Family 1	cytoplasm; nucleus	16787938	Expressed in CD4+ T-cells.	16847315
MTMR7	myotubularin related protein 7	ENSG00000003987	9108	MTMR7	Myotubularins	Q9Y216	3.1.3.-	3.90.190.10	Family 1	cytoplasm	16787938	Expressed specifically in brain.	12890864
MTMR8	myotubularin related protein 8	ENSG00000102043	55613	MTMR8	Myotubularins	Q96EF0	3.1.3.-	3.90.190.10	Family 1	nucleus	16787938	N/A	N/A
MTMR14	myotubularin related protein 14	ENSG00000163719	64419	MTMR14	Myotubularins	Q8NCE2	3.1.3.-	3.90.190.10	Family 1	cytoplasm	17008356	"Expressed in various tissues, including heart, skeletal muscle, placenta, liver, lung, kidney and pancreas."	17008356
ACP1	"acid phosphatase 1, soluble"	ENSG00000143727	52	LMW-PTP	"LMPTP, low molecular weight protein tyrosine phosphatase"	P24666	"3.1.3.2, 3.1.3.48"	3.40.50.270	Family 2	cytoplasm	1587862	T-lymphocytes express only isoform 2.	9038134
